FaZe Clan,ORG
Cloud9,ORG
Team Liquid,ORG
MOUZ,ORG
Complexity,ORG
M80,ORG
Unjustified,ORG
NAVI,ORG
ENCE,ORG
HAVU,ORG
Lynn Vision,ORG
Sprout,ORG
Team Spirit,ORG
Heroic,ORG
Astralis,ORG
Team Vitality,ORG
Guild Esports,ORG
Apeks,ORG
FORZE,ORG
FURIA,ORG
Nouns,ORG
TSM,ORG
Endpoint,ORG
G2,ORG
Monte,ORG
Virtus.pro,ORG
GamerLegion,ORG
Eternal Fire,ORG
BetBoom,ORG
BIG,ORG
Movistar Riders,ORG
9INE,ORG
9z,ORG
3DMAX,ORG
TYLOO,ORG
MIBR,ORG
Ninjas in Pyjamas,ORG
SAW,ORG
1WIN,ORG
Preasy,ORG
SINNERS,ORG
regain,FA
Orgless,FA
NRG,ORG
Evil Geniuses,ORG
Wildcard,ORG